PROBLEM,BB_LOWER_BOUND,BB_UPPER_BOUND,BB_CTIME,HRKGA_MIN_LENGTH,HRKGA_MEAN_LENGTH,HRKGA_MIN_CTIME,HRKGA_MEAN_CTIME,GSOA_MIN_LENGTH,GSOA_MEAN_LENGTH,GSOA_MIN_CTIME,GSOA_MEAN_CTIME,CENTROID_MIN_LENGTH,CENTROID_MEAN_LENGTH,CENTROID_MIN_CTIME,CENTROID_MEAN_CTIME
3D_40_25_a,2524.451083082069,3859.428270394201,36058.959902,,,,,3805.8,3896.908999999999,69.0,71.0,3805.1,3805.1,2.0,2.0
3D_30_30_e,2131.0520355525214,3801.1288368631567,36002.867688,3593.31,3593.31,52.22,52.22,3578.1,3654.959,0.121,0.1222,3551.66,3551.66,0.0,0.0007
3D_30_30_d,2467.3314278066023,3812.5234336465815,36658.426277,3607.69,3607.69,40.64,40.64,3660.97,3779.1810000000005,0.137,0.138,3611.48,3611.4800000000005,0.0,0.0008
3D_30_30_c,2551.2323951586527,3805.329276344908,36014.11861,3714.36,3714.36,55.7,55.7,3738.32,3788.1040000000003,0.136,0.1378,3687.17,3687.169999999999,0.0,0.0007
3D_30_30_b,2386.558306892509,4092.217871960501,36674.938098,3879.62,3879.62,51.33,51.33,3966.58,3997.226,0.124,0.1252,3858.63,3858.63,0.0,0.0005
3D_30_30_a,2367.01215865193,3784.860729407933,36090.297731,3560.9,3560.9,52.71,52.71,3606.46,3686.1769999999997,0.126,0.1273,3549.35,3549.3499999999995,0.0,0.0008
3D_30_30_f,2080.53842915308,3884.072722320375,36295.421558,3625.18,3625.18,53.26,53.26,3665.98,3740.5250000000005,0.135,0.1365,3618.6,3618.5999999999995,0.0,0.0004
3D_35_35_a,2490.7844397434246,4504.729079205964,36851.062616,4318.65,4318.65,65.55,65.55,4450.93,4514.959000000001,0.176,0.17809999999999998,4313.53,4313.53,0.001,0.0015
3D_35_35_b,2601.948151307082,4499.044929012028,36122.467768,4214.62,4214.62,52.96,52.96,4221.02,4387.1630000000005,0.161,0.16250000000000003,4183.49,4183.489999999999,0.0,0.0009000000000000001
3D_35_35_c,2262.738151376614,4127.042038035096,36073.431814,3700.23,3700.23,61.03,61.03,3814.24,3973.3729999999996,0.182,0.18630000000000002,3683.72,3683.7200000000003,0.002,0.0021000000000000003
3D_35_35_d,2551.7386895056025,4596.789526689927,36046.508221,4303.18,4303.18,61.72,61.72,4320.19,4355.287,0.165,0.16810000000000003,4276.24,4276.239999999999,0.001,0.0017000000000000001
3D_35_35_e,2344.667651040696,4293.061268140381,36247.193796,3899.11,3899.11,60.65,60.65,3929.51,4107.089,0.169,0.1721,3892.16,3892.1600000000008,0.0,0.0009000000000000001
3D_35_35_f,2609.807164904425,4267.552045398658,36128.832884,4057.73,4057.73,59.74,59.74,4137.97,4178.353999999999,0.17,0.17329999999999998,4039.0,4039.0,0.0,0.0008
3D_40_40_f,2152.086444453432,4217.403819103346,36009.135193,4036.65,4036.65,67.13,67.13,4087.74,4118.884,0.221,0.22469999999999998,3976.35,3976.3499999999995,0.0,0.0010999999999999998
3D_40_40_e,2480.957895674793,4405.744550445047,36098.443232,4118.23,4118.23,68.66,68.66,4230.0,4364.832,0.215,0.22000000000000003,4085.43,4085.4299999999994,0.001,0.0013000000000000004
3D_40_40_d,2570.018418445424,4801.890108685558,36088.036259,4550.32,4550.32,71.4,71.4,4684.26,4731.549000000001,0.229,0.23150000000000004,4553.39,4553.39,0.0,0.0007
3D_40_40_b,2739.9807970445377,4396.938404752083,36161.909191,4176.58,4176.58,80.19,80.19,4186.1,4251.271000000001,0.242,0.25000000000000006,4138.35,4138.349999999999,0.0,0.0010999999999999998
3D_40_40_c,2369.2237904760136,4601.844458338865,36040.19379,4379.74,4379.74,65.71,65.71,4469.24,4550.484,0.232,0.2355,4358.7,4358.699999999999,0.0,0.0013000000000000002
3D_40_40_a,2271.164599161027,4757.675559677838,36053.429891,4489.47,4489.47,56.85,56.85,4537.29,4627.983000000001,0.202,0.20570000000000005,4476.27,4476.270000000001,0.0,0.0010000000000000002
3D_45_45_a,2390.8470904919805,4853.974526624419,36202.420328,4501.49,4501.49,69.13,69.13,4571.03,4686.898,0.268,0.2711,4466.4,4466.400000000001,0.005,0.005499999999999999
3D_45_45_b,2900.71624508138,5259.8313074732005,36227.830617,4919.89,4919.89,90.52,90.52,4931.84,5134.383,0.294,0.29649999999999993,4879.96,4879.96,0.001,0.0018000000000000002
3D_45_45_c,2692.513876968593,5215.445622794793,36005.783001,4814.32,4814.32,80.96,80.96,4888.88,4976.129,0.259,0.26239999999999997,4784.13,4784.129999999999,0.001,0.0012000000000000003
3D_45_45_d,2616.560027008264,5269.667896555719,36012.905792,4876.59,4876.59,73.74,73.74,4927.31,5083.045,0.259,0.2627999999999999,4818.7,4818.699999999999,0.0,0.0009000000000000001
3D_45_45_e,2757.530125064145,5268.492925771636,37025.483055,4939.2,4939.2,81.59,81.59,5024.14,5138.272,0.273,0.2756,4874.99,4874.989999999999,0.001,0.0014000000000000006
3D_45_45_f,2587.993159419954,5075.757271125453,36039.761196,4754.97,4754.97,90.18,90.18,4785.43,4913.454,0.285,0.2888,4676.46,4676.46,0.0,0.0012000000000000001
3D_50_50_a,2358.5375883612774,5254.838181187589,36126.954093,4972.85,4972.85,84.6,84.6,5092.81,5168.019,0.329,0.3309000000000001,4904.16,4904.160000000001,0.001,0.0014
3D_50_50_b,2535.880434851806,5384.885776220286,36257.198713,5079.52,5079.52,84.26,84.26,5017.96,5063.092,0.348,0.3499,4962.53,4962.53,0.005,0.005599999999999999
